lat,long,silt%,clay%,sand%
36.80963699,22.90172871,49.9405,31.692513,18.36699
36.81148987,14.7258714,48.41851,32.456856,19.124634
36.81466721,15.01565672,45.831974,25.228771,28.939255
36.81629604,-5.622648575,26.156624,31.442373,42.401
36.83514574,14.61607078,51.156387,30.302187,18.541428
36.84568996,22.77288111,36.284492,31.611067,32.10444
36.85867343,14.50619939,27.384186,22.026592,50.58922
36.86832789,-6.181351037,46.49846,36.937225,16.564316
36.87258805,22.57453058,34.313538,21.498554,44.187904
36.87846079,22.8014917,31.61361,16.515265,51.871124
36.87999965,-3.570811818,41.358383,15.261686,43.37993
36.9010057,-3.167466716,41.00537,18.721155,40.273476
36.90664205,-5.187727211,30.541245,31.776707,37.682045
36.91008184,22.15223697,37.43074,24.003384,38.565876
36.91726961,22.51482438,34.517296,16.882792,48.599915
36.92065674,-4.872358314,39.156036,45.392838,15.451126
36.92083548,-5.213604822,48.819725,31.680956,19.499321
36.93221764,22.54011411,38.66057,24.717573,36.621857
36.93384941,-5.580878747,48.517895,33.283108,18.198997
36.93771452,-4.171742821,46.88285,31.106562,22.01059
36.93983337,-4.036018431,36.464806,20.587626,42.94757
36.94605145,-3.108100524,34.25965,19.317144,46.423203
36.95527252,-5.562924478,42.870163,31.571642,25.558197
36.96201308,-6.066345911,40.618275,50.700275,8.68145
36.96935643,-5.588903542,36.784046,38.39242,24.823532
36.96957192,-6.022445377,35.55426,48.900906,15.54483
36.97056438,-5.247344003,39.15265,30.475752,30.371597
36.97592018,-3.793711027,44.192253,37.039116,18.768631
36.9767017,-4.634212417,27.467308,33.793606,38.739086
36.97774003,-5.203374035,40.76249,25.374502,33.863007
36.9919345,22.64138895,36.42997,25.54124,38.02879
36.99198842,-3.933085956,38.774334,29.568806,31.65686
36.99905488,-4.957543668,34.194862,32.428818,33.37632
36.99948213,21.7386699,35.271744,33.569977,31.15828
37.00118306,-5.61891898,38.347065,44.136623,17.516312
37.00508784,-3.844920752,48.02548,34.032597,17.941925
37.00585601,-3.074103514,45.5934,23.656092,30.750511
37.02152485,-6.148815187,40.673252,51.72404,7.602707
37.02437102,-3.962324686,67.77954,10.777808,21.44265
37.03058387,22.49000811,42.168415,17.365543,40.46604
37.03094522,-3.918227795,50.219234,28.492237,21.288528
