lat,long,clay%
47.51504388,22.44553955,38.842724
46.97534926,24.42986812,23.058485
47.01065156,24.57407369,20.997232
46.80638279,24.59697557,19.235693
46.84159984,24.6068858,22.476072
46.82030774,24.76159809,19.433203
45.9652423,25.36749585,24.674732
45.61669709,25.7401614,25.334211
46.23409832,27.52429537,19.298944
46.19973217,27.61974769,16.209318
46.18271233,27.72097453,10.3241625
46.23528379,27.84586493,14.894201
46.12300718,27.19383165,20.707663
44.90961241,26.9653211,23.742802
45.01981216,27.07796831,18.874456
44.81100016,27.11679978,23.307234
45.03006199,27.23791897,23.333328
44.64324121,23.55849137,19.76958
43.85860514,23.82576589,28.507534
45.82356755,20.77376124,32.77146
45.94556679,20.82427716,29.063955
45.84608059,20.90840255,22.277264
45.76607618,21.15224525,32.177788
45.83182204,21.21793185,33.064785
45.96067739,27.06129744,23.337685
45.76076244,25.38760439,23.707949
45.94168814,27.40060976,23.69126
45.59512392,25.39259921,25.516642
45.85449501,24.99312522,25.712559
45.84349088,27.10313381,17.898582
44.52075466,27.31140832,16.955435
45.99740176,26.83399585,26.631645
46.15196422,20.39510966,32.439194
45.7865585,25.21079366,23.392202
45.95359272,20.56517825,32.552322
45.75868967,25.15027837,25.166504
43.76605327,24.2330591,21.57118
46.09874978,27.45250163,16.369164
44.02720791,25.21506827,20.099312
45.75990898,24.49395525,25.427727
45.59247459,27.28668226,25.403563
45.71802225,27.19509021,17.154684
45.89003069,24.34516215,22.249977
45.81453328,27.27934359,17.870289
45.85361781,27.26554218,21.651262
44.99242909,23.54122894,19.440487
45.75457007,27.41879954,19.2838
45.03600006,23.34544909,25.064938
45.10190716,23.25814273,24.352404
45.09167327,27.30981015,20.466957
43.81995241,24.49986165,27.635382
45.65050525,27.49058984,26.857885
45.74676913,27.57525409,18.98983
45.64260625,27.64674419,20.22735
45.01489462,27.54675419,20.855528
45.31349968,22.27358904,18.852669
45.80667562,23.87688226,21.422857
44.946114,27.73360019,23.76523
45.49340137,27.43926039,23.287872
44.00329344,25.61651499,27.82488
45.55482364,27.51209359,31.355925
44.04969363,25.55280907,29.31804
43.9867316,25.48443609,26.342535
45.90291515,23.27210872,28.591068
