sample_date,lat,long,elevation
2018-08-21,57.21239628,10.1157138,23
2018-08-21,49.36435638,14.31103731,472
2018-08-21,55.27021724,9.543972714,38
2018-08-20,53.19814281,8.78798828,-1
2018-08-20,50.16305206,9.146349497,170
2018-08-20,49.67549945,15.0607865,458
2018-08-17,55.87120018,24.17116684,50
2018-08-17,47.27381946,19.01866355,97
2018-08-17,49.46003368,14.62356532,501
2018-08-15,50.7321711,-2.318507961,43
2018-08-14,50.44901193,13.67626924,212
2018-08-14,45.88704365,17.77452056,100
2018-08-14,56.03975603,25.08762321,83
2018-08-14,47.22415423,19.59581314,130
2018-08-13,49.63335854,15.19516843,522
2018-08-12,49.17415722,9.19103738,179
2018-08-12,47.61264724,16.85680965,125
2018-08-10,47.60298293,16.72197807,148
2018-08-08,46.06480217,18.06003626,152
2018-08-08,61.00412266,22.77592964,69
2018-08-08,46.01323356,18.26008359,204
2018-08-08,49.664867,14.89303869,425
2018-08-02,56.29830375,24.75956869,49
2018-08-01,46.34956224,20.95902831,95
2018-08-01,46.42600853,20.92220886,92
2018-07-31,56.32490892,8.691723141,36
2018-07-31,46.0919339,18.63648625,128
2018-07-31,41.62019249,23.74695449,526
2018-07-31,46.13599624,18.53938223,257
2018-07-31,41.55383038,23.82928247,487
2018-07-30,49.36528852,15.52553081,632
2018-07-30,49.38590511,15.47261039,545
2018-07-29,49.36074615,15.96698944,518
2018-07-28,56.54724718,9.951268669,37
2018-07-27,41.51843884,23.2864801,172
2018-07-27,64.24218694,24.11004836,38
2018-07-26,52.69217315,5.604441697,-5
2018-07-26,46.45880127,18.80088611,99
2018-07-26,52.71119103,5.632187549,-6
2018-07-26,46.39157303,18.7373956,87
2018-07-25,46.60283173,18.58829167,108
2018-07-23,47.28307539,10.99064648,635
2018-07-23,50.81299522,9.645296268,204
2018-07-23,47.24776526,10.9107731,1097
2018-07-23,47.80960091,9.959969931,694
2018-07-22,46.25799356,18.8200001,86
2018-07-20,56.65396311,25.16652722,87
2018-07-20,62.57999674,22.96692152,101
2018-07-19,47.08797612,21.5411306,88
2018-07-19,47.10012533,21.59722891,89
2018-07-18,46.60674103,19.40422897,106
2018-07-18,56.18768342,9.887344732,67
2018-07-17,63.10670792,27.41762913,89
2018-07-17,50.04952799,12.47157662,482
2018-07-17,48.2434579,21.6149081,93
2018-07-16,53.18158019,8.938040009,2
2018-07-16,45.98408745,19.06098325,88
2018-07-15,53.16732024,7.861558712,3
2018-07-14,49.23707968,15.56613848,671
2018-07-13,53.79744508,12.95980205,42
2018-07-12,60.36461627,21.93825079,10
2018-07-12,47.34044954,12.84368625,1199
2018-07-10,54.97961418,9.016386339,12
2018-07-10,46.17578832,18.93686438,85
2018-07-09,48.16953821,9.959686456,557
2018-07-09,49.10219356,17.55893586,193
2018-07-09,55.03541971,9.296464845,38
2018-07-09,60.88923758,27.63787738,72
2018-07-08,47.36186221,16.82356019,160
2018-07-07,47.84560385,10.01335273,643
2018-07-07,55.12176547,8.824900149,7
2018-07-06,54.90961706,9.298638825,23
2018-07-06,50.69714852,8.598756275,268
2018-07-06,50.71675829,8.739785451,219
2018-07-05,46.7470949,17.6376375,116
2018-07-05,51.1706342,10.75780136,225
2018-07-05,46.61994482,17.64551813,153
2018-07-03,48.24770047,22.08034637,100
2018-07-01,48.13982785,21.56366511,106
2018-06-30,46.90166405,20.88870713,78
2018-06-29,49.99476139,6.777580932,311
2018-06-29,46.8819066,21.25633378,83
2018-06-28,47.00040909,20.98917485,80
2018-06-28,60.76312668,21.97310864,36
2018-06-26,52.09378584,8.175882103,90
2018-06-26,49.958043,6.752151177,294
2018-06-26,51.7018123,8.423192545,78
2018-06-26,56.49324395,10.1459892,38
2018-06-25,48.80661512,15.87278002,426
2018-06-25,61.01837865,22.40595913,54
2018-06-22,60.7706493,26.47394983,42
2018-06-08,55.8055365,-2.910435428,306
2018-05-30,47.37097705,12.31576804,1108
2018-05-23,52.37377179,-7.354732517,24
2018-05-21,53.14221949,-6.62035345,153
2018-05-19,47.24676456,17.20644694,122
2018-05-13,47.00697652,11.51106836,1402
2018-05-13,47.22534899,17.25654116,145
