lat,long,sand%
44.8009918,26.38634633,38.74359
44.77163079,26.45538088,24.577278
50.33998334,20.22158103,16.442276
46.47845536,24.31941239,25.219223
46.38642641,24.18824189,21.960419
45.07116516,26.65015687,53.778233
44.8810234,26.22846935,40.0231
44.97060796,26.35913327,40.87659
45.0407433,26.38018132,34.5204
44.92939888,26.50283987,33.714897
44.97403036,26.568409,32.007843
46.46821527,24.52929393,20.561226
50.28414098,20.23782082,12.31752
46.70062067,24.43377776,24.862038
46.17900371,22.65641344,24.560577
46.02640411,23.59200205,24.859238
46.16988393,23.89256242,26.042519
46.03454317,26.12904738,36.073982
46.14792415,23.78129877,23.895607
46.17105497,23.60265547,18.545387
45.69696169,23.16908116,25.219482
45.8031421,23.19510386,20.340012
47.10770863,23.98284706,29.34005
47.12689506,23.69244454,34.72573
45.87559675,23.3439552,20.911667
45.56278106,22.92811273,27.530441
45.19670048,26.08770589,32.23838
45.00526426,25.90122364,30.262405
46.57305676,24.15892498,29.749046
43.12439426,25.00147679,18.768478
38.60948889,23.66613709,29.275558
40.58064609,22.20244075,36.905827
47.7353012,1.088146404,9.65506
47.77747061,1.161454264,7.3232803
47.78812795,1.29406868,6.6110916
52.57872375,-0.530759891,33.310425
47.80809653,1.317556631,6.5996857
52.45389537,-0.709242813,26.734917
47.74901181,0.816894372,29.208344
44.7016632,26.20143683,50.918312
55.25228586,-2.793970443,52.81406
47.75263699,24.07909709,35.774483
54.79754664,-2.427856394,54.03129
47.71443145,24.23170383,26.116707
52.36249052,0.114994749,52.457287
52.29378715,0.160024506,40.15779
53.16722815,-1.432914582,15.932892
47.73244369,1.276702696,2.212822
47.79580114,0.727701918,37.28447
47.69325944,0.800052699,10.949158
47.79746698,1.184886882,7.746277
47.73961836,1.141137888,8.870438
47.8280581,23.33761712,21.106232
38.25126439,23.08479889,26.208206
56.31712948,12.89127452,32.037003
44.2925432,25.0311532,18.926262
38.52010744,22.85980465,2.0392761
40.11410134,21.37919864,45.58595
46.94964893,24.07410008,27.838333
